avg		max_tem date
15:05:00	17.2	2006-06-01
13:20:00	17.7	2006-06-02
14:55:00	19.6	2006-06-03
16:15:00	18	2006-06-04
14:05:00	16.1	2006-06-05
14:20:00	23.2	2006-06-06
13:00:00	19.6	2006-06-07
16:35:00	20.7	2006-06-08
14:40:00	17.9	2006-06-09
13:05:00	19.9	2006-06-10
11:10:00	22.4	2006-06-11
15:00:00	19.4	2006-06-12
13:40:00	17.1	2006-06-13
13:40:00	16.4	2006-06-14
13:55:00	21.1	2006-06-15
14:55:00	18.7	2006-06-16
14:50:00	18.9	2006-06-17
13:20:00	15.4	2006-06-18
14:50:00	17.3	2006-06-19
12:10:00	16.3	2006-06-20
13:30:00	12.6	2006-06-21
14:40:00	16.1	2006-06-22
10:10:00	16.5	2006-06-23
15:50:00	16.7	2006-06-24
10:33:20	15.6	2006-06-25
10:00:00	15.8	2006-06-26
12:40:00	17.7	2006-06-27
10:45:00	21.4	2006-06-28
13:05:00	18.1	2006-06-29
13:20:00	15.9	2006-06-30

