max_tem	time_occuring   date
17.2	15:00:00	2006-06-01
17.7	13:20:00	2006-06-02
19.6	14:50:00	2006-06-03
18	16:10:00	2006-06-04
16.1	13:30:00	2006-06-05
23.2	14:20:00	2006-06-06
19.6	13:00:00	2006-06-07
20.7	16:20:00	2006-06-08
17.9	14:40:00	2006-06-09
19.9	13:00:00	2006-06-10
22.4	11:00:00	2006-06-11
19.4	15:00:00	2006-06-12
17.1	13:40:00	2006-06-13
16.4	11:10:00	2006-06-14
21.1	13:50:00	2006-06-15
18.7	14:50:00	2006-06-16
18.9	14:50:00	2006-06-17
15.4	13:20:00	2006-06-18
17.3	14:50:00	2006-06-19
16.3	12:00:00	2006-06-20
12.6	13:30:00	2006-06-21
16.1	14:40:00	2006-06-22
16.5	10:10:00	2006-06-23
16.7	15:40:00	2006-06-24
15.6	10:20:00	2006-06-25
15.8	10:00:00	2006-06-26
17.7	12:40:00	2006-06-27
21.4	10:40:00	2006-06-28
18.1	13:00:00	2006-06-29
15.9	13:00:00	2006-06-30


