hi_tem  low_tem date		time
23.2	23.1	2006-06-06	14:20:00
23.2	23.1	2006-06-06	14:30:00
23.2	23.1	2006-06-06	14:10:00
23.1	23	2006-06-06	14:00:00
23.1	22.9	2006-06-06	14:40:00
23	22.9	2006-06-06	13:50:00
23	22.8	2006-06-06	13:40:00
22.9	22.9	2006-06-06	14:50:00
22.9	22.9	2006-06-06	15:00:00
22.9	22.7	2006-06-06	15:10:00
22.7	22.7	2006-06-06	15:20:00
22.7	22.7	2006-06-06	15:30:00
22.8	22.7	2006-06-06	13:30:00
22.7	22.4	2006-06-06	13:20:00
22.6	22.5	2006-06-06	15:50:00
22.7	22.6	2006-06-06	15:40:00
22.5	22.4	2006-06-06	16:00:00
22.4	22.3	2006-06-06	16:10:00
22.3	22.2	2006-06-06	16:20:00
22.3	22.2	2006-06-06	16:30:00
22.3	22.2	2006-06-06	16:40:00
22.4	22.1	2006-06-06	13:10:00
22.2	22	2006-06-06	16:50:00
22	21.8	2006-06-06	17:00:00
22.1	21.8	2006-06-06	13:00:00
21.9	21.7	2006-06-06	18:10:00
21.8	21.8	2006-06-06	17:10:00
21.8	21.8	2006-06-06	17:20:00
21.8	21.7	2006-06-06	17:30:00
21.9	21.7	2006-06-06	18:00:00
21.8	21.6	2006-06-06	12:50:00
21.7	21.6	2006-06-06	17:50:00
21.7	21.6	2006-06-06	17:40:00
21.7	21.4	2006-06-06	18:20:00
21.6	21.4	2006-06-06	12:40:00
21.4	21.1	2006-06-06	18:30:00
21.4	21.2	2006-06-06	12:30:00
11	10.4	2006-05-31	09:20:00
11.1	10.4	2006-06-21	11:40:00
10.8	10.4	2006-06-06	06:20:00
10.6	10.4	2006-06-07	21:00:00
10.8	10.3	2006-06-21	14:20:00
10.7	10.4	2006-06-09	09:00:00
10.7	10.4	2006-06-23	06:00:00
10.8	10.4	2006-06-02	06:50:00
10.7	10.4	2006-06-21	11:50:00
10.6	10.4	2006-07-01	04:50:00
10.6	10.3	2006-05-31	19:20:00
10.5	10.4	2006-06-01	06:30:00
10.6	10.4	2006-06-02	22:20:00
10.7	10.3	2006-06-03	07:00:00
10.6	10.4	2006-06-04	22:30:00
10.6	10.4	2006-06-05	23:50:00
10.5	10.4	2006-06-07	04:20:00
10.6	10.4	2006-06-07	04:30:00
10.6	10.4	2006-06-08	05:50:00
10.5	10.4	2006-06-10	06:10:00
10.6	10.4	2006-06-14	05:20:00
10.6	10.4	2006-06-15	05:50:00
10.6	10.4	2006-06-20	21:30:00
10.7	10.2	2006-06-21	08:20:00
10.6	10.4	2006-06-21	18:40:00
10.6	10.4	2006-06-22	22:40:00
10.6	10.4	2006-06-24	07:30:00
10.6	10.4	2006-06-25	00:30:00
10.6	10.4	2006-06-25	05:00:00
10.6	10.4	2006-06-25	20:40:00
10.6	10.4	2006-06-26	22:30:00
10.6	10.4	2006-06-26	22:40:00
10.6	10.4	2006-06-28	06:40:00
10.4	10.3	2006-06-01	06:10:00
10.5	10.3	2006-06-26	22:50:00
10.6	10.3	2006-06-03	21:00:00
10.4	10.3	2006-06-07	21:10:00
10.4	10.4	2006-06-08	05:20:00
10.4	10.4	2006-06-08	05:30:00
10.5	10.4	2006-06-08	05:40:00
10.6	10.3	2006-06-09	03:00:00
10.5	10.4	2006-06-09	23:00:00
10.4	10.4	2006-06-09	23:10:00
10.4	10.3	2006-06-10	02:20:00
10.4	10.4	2006-06-10	02:30:00
10.4	10.4	2006-06-10	02:40:00
10.4	10.4	2006-06-10	05:40:00
10.4	10.4	2006-06-10	05:50:00
10.5	10.4	2006-06-10	06:00:00
10.5	10.3	2006-06-26	23:10:00
10.5	10.3	2006-06-13	22:20:00
10.5	10.3	2006-06-26	23:20:00
10.5	10.4	2006-06-14	22:10:00
10.4	10.3	2006-06-14	22:20:00
10.5	10.4	2006-06-19	23:20:00
10.5	10.3	2006-06-20	06:50:00
10.5	10.3	2006-06-21	08:50:00
10.6	10.3	2006-06-01	21:50:00
10.4	10.4	2006-06-01	06:20:00
10.5	10.3	2006-06-21	18:30:00
10.5	10.4	2006-06-21	21:00:00
10.4	10.4	2006-06-21	21:10:00
10.4	10.4	2006-06-21	21:20:00
10.4	10.4	2006-06-21	21:30:00
10.4	10.4	2006-06-21	21:40:00
10.4	10.4	2006-06-21	21:50:00
10.5	10.4	2006-06-21	22:00:00
10.4	10.4	2006-06-21	22:10:00
10.5	10.4	2006-06-21	22:20:00
10.4	10.4	2006-06-21	22:30:00
10.4	10.4	2006-06-21	22:40:00
10.4	10.4	2006-06-21	22:50:00
10.4	10.3	2006-06-21	23:00:00
10.6	10.3	2006-06-22	06:20:00
10.5	10.3	2006-06-27	06:20:00
10.5	10.4	2006-06-04	06:50:00
10.6	10.4	2006-06-23	23:20:00
10.5	10.3	2006-06-24	07:00:00
10.5	10.3	2006-06-24	07:20:00
10.5	10.3	2006-06-27	06:30:00
10.5	10.3	2006-06-28	00:10:00
10.5	10.3	2006-06-25	00:40:00
10.5	10.3	2006-07-01	01:20:00
10.5	10.3	2006-06-25	20:50:00
10.5	10.2	2006-06-05	06:20:00
10.4	10.4	2006-06-04	22:40:00
10.4	10.2	2006-06-27	06:10:00
10.4	10.3	2006-06-23	23:30:00
10.4	10.3	2006-06-14	22:30:00
10.3	10.2	2006-06-14	22:40:00
10.4	10.2	2006-06-04	06:40:00
10.4	10.2	2006-07-01	04:40:00
10.4	10.3	2006-06-21	23:10:00
10.3	10.3	2006-06-21	23:20:00
10.3	10.3	2006-06-21	23:30:00
10.3	10.2	2006-06-07	21:20:00
10.3	10.2	2006-06-08	04:50:00
10.3	10.3	2006-06-08	05:00:00
10.4	10.3	2006-06-08	05:10:00
10.3	10.3	2006-06-21	23:40:00
10.3	10.3	2006-06-21	23:50:00
10.3	10.3	2006-06-22	00:00:00
10.4	10.2	2006-06-26	23:00:00
10.3	10.3	2006-06-22	00:10:00
10.4	10.3	2006-06-09	08:50:00
10.4	10.2	2006-06-02	22:30:00
10.3	10.3	2006-06-22	00:20:00
10.3	10.2	2006-06-22	00:30:00
10.4	10.3	2006-06-09	23:20:00
10.3	10.3	2006-06-09	23:30:00
10.3	10.2	2006-06-10	01:50:00
10.3	10.3	2006-06-10	02:00:00
10.4	10.3	2006-06-10	02:10:00
10.4	10.3	2006-06-10	02:50:00
10.3	10.3	2006-06-10	03:00:00
10.3	10.3	2006-06-10	05:20:00
10.4	10.3	2006-06-10	05:30:00
10.3	10.2	2006-06-22	06:10:00
10.4	10.3	2006-06-22	22:50:00
10.4	10.3	2006-06-23	05:50:00
10.4	10.2	2006-06-14	05:10:00
10.4	10.2	2006-06-15	05:40:00
10.4	10.2	2006-06-26	23:30:00
10.4	10.3	2006-06-19	23:30:00
10.3	10.2	2006-06-19	23:40:00
10.4	10.2	2006-06-24	06:50:00
10.4	10.2	2006-06-26	23:40:00
10.4	10.3	2006-06-20	21:40:00
10.4	10.2	2006-06-26	23:50:00
10.6	10.2	2006-06-21	08:40:00
10.4	10.2	2006-06-02	06:40:00
10.4	10.2	2006-06-24	07:10:00
10.3	10.2	2006-06-21	18:20:00
10.4	10.2	2006-06-25	04:40:00
